1--------frb30-15-mis/frb30-15-1.mis
19,20,8,14470609425,29,20,8,142990571314,
19,20,9,15229945154,29,20,9,164660247438,
19,20,10,13802628848,29,20,10,160415721655,
19,20,11,15165851596,29,20,11,165967937820,
19,20,12,15806260067,29,20,12,160826204734,
19,20,13,14527086738,29,20,13,162954249856,
19,20,14,16569604712,29,20,14,162360744393,
19,20,15,15085944303,29,20,15,169892760663,
19,20,16,13914932455,29,20,16,171210654977,
19,20,17,16465291658,29,20,17,171230254935,
19,20,18,14743278924,29,20,18,173481748820,
19,20,19,14042852608,29,20,19,174151538422,
19,20,20,16965681368,29,20,20,171038922654,
1--------frb35-17-mis/frb35-17-2.mis
36,5,1,81773884,19,5,1,49036720,
34,5,2,83553150,15,5,2,78196532,
28,5,3,96344188,15,5,3,78962132,
29,5,4,105848742,15,5,4,75941190,
29,5,5,103106568,15,5,5,75395041,
41,10,1,58481561,29,10,1,46447244,
34,10,2,58504423,23,10,2,65258245,
34,10,3,69097796,17,10,3,74079820,
32,10,4,71255077,17,10,4,74324488,
27,10,5,105507474,17,10,5,72766758,
27,10,6,106220028,17,10,6,112349210,
27,10,7,144349406,17,10,7,84435262,
27,10,8,105765770,17,10,8,85459840,
27,10,9,106707967,17,10,9,71964553,
27,10,10,106245871,17,10,10,71694207,
60,20,1,51782490,37,20,1,41601814,
60,20,2,54658300,42,20,2,62501830,
60,20,3,69463535,17,20,3,664951204,
46,20,4,211952979,17,20,4,647872614,
36,20,5,3789386950,17,20,5,694458845,
23,20,6,7810261831,17,20,6,653143595,
23,20,7,5837668874,17,20,7,903476822,
23,20,8,6463451236,17,20,8,654906548,
23,20,9,8714245190,17,20,9,650972610,
23,20,10,6834593947,17,20,10,687745612,
23,20,11,7121909314,17,20,11,1221650771,
23,20,12,6686040729,17,20,12,679452982,
23,20,13,6094693290,17,20,13,753534801,
23,20,14,8776791099,17,20,14,678238967,
23,20,15,7905200178,17,20,15,694481482,
23,20,16,6235906604,17,20,16,1282260998,
23,20,17,6295431742,17,20,17,1225499454,
23,20,18,6647339349,17,20,18,1083801241,
23,20,19,7914515446,17,20,19,1340955503,
23,20,20,8439323701,17,20,20,872023277,
1--------frb35-17-mis/frb35-17-3.mis
41,5,1,94988927,23,5,1,90189960,
35,5,2,99258434,17,5,2,107938538,
29,5,3,121955630,17,5,3,100799013,
28,5,4,109975287,17,5,4,105744406,
28,5,5,110790893,17,5,5,106136972,
50,10,1,63959884,32,10,1,61392146,
43,10,2,75149892,19,10,2,67757448,
