1--------000027_zebra.konet
19,20,18,84370520290,20,20,18,2438473720724,
19,20,19,84871520468,20,20,19,2470910609104,
19,20,20,83208676016,20,20,20,2437756798786,
1--------000212_pdzbase.konet
66,5,1,2474295,66,5,1,2507211,
66,5,2,2577059,66,5,2,2496932,
65,5,3,2430769,65,5,3,2551588,
65,5,4,2442455,65,5,4,4272134,
65,5,5,2515316,65,5,5,2675925,
66,10,1,2473522,66,10,1,2505748,
66,10,2,2466107,66,10,2,2503139,
65,10,3,2459049,65,10,3,2514663,
65,10,4,2447432,65,10,4,2535499,
65,10,5,2543113,65,10,5,2532033,
65,10,6,2527107,65,10,6,2446544,
65,10,7,2510440,65,10,7,2489957,
65,10,8,2524999,65,10,8,2437240,
65,10,9,2507623,65,10,9,2520628,
65,10,10,2505714,65,10,10,2439164,
66,20,1,2413018,66,20,1,2400241,
66,20,2,2458017,66,20,2,2495715,
65,20,3,2500720,65,20,3,2483496,
65,20,4,2507191,65,20,4,2483940,
65,20,5,2464678,65,20,5,2517889,
65,20,6,2477182,65,20,6,2529268,
65,20,7,2524876,65,20,7,2472730,
65,20,8,2514607,65,20,8,2433537,
65,20,9,2513504,65,20,9,2438212,
65,20,10,2432281,65,20,10,2429668,
65,20,11,2502659,65,20,11,2479207,
65,20,12,2438349,65,20,12,2491935,
65,20,13,2462992,65,20,13,2440645,
65,20,14,2486853,65,20,14,2441404,
65,20,15,2559972,65,20,15,2501164,
65,20,16,2443615,65,20,16,2616995,
65,20,17,2604905,65,20,17,2506731,
65,20,18,2538739,65,20,18,2514889,
65,20,19,2553346,65,20,19,2524092,
65,20,20,2719400,65,20,20,2504341,
1--------001133_rovira.konet
240,5,1,470350868,238,5,1,477321452,
240,5,2,454770886,238,5,2,463218352,
238,5,3,456661183,233,5,3,474161720,
234,5,4,435519729,232,5,4,490560196,
234,5,5,438177373,232,5,5,471145133,
243,10,1,274090136,241,10,1,267925956,
243,10,2,268103519,241,10,2,308318200,
243,10,3,278248955,241,10,3,286366386,
239,10,4,274702915,241,10,4,301715335,
239,10,5,307495413,241,10,5,325213539,
239,10,6,338779165,241,10,6,382494491,
239,10,7,362859729,241,10,7,481255295,
236,10,8,367445932,238,10,8,562952971,
236,10,9,370438331,237,10,9,475599476,
236,10,10,370215037,237,10,10,474932029,
245,20,1,148414111,244,20,1,145232809,
245,20,2,151840171,244,20,2,153836412,
245,20,3,186360135,244,20,3,193803342,
245,20,4,431613707,244,20,4,520718370,
245,20,5,1655053151,244,20,5,2320578561,
245,20,6,6355916067,244,20,6,10122890783,
245,20,7,20413491960,244,20,7,36444186500,
245,20,8,54591947270,244,20,8,112654343919,
245,20,9,123282161871,244,20,9,290567799534,
245,20,10,238734043104,244,20,10,653470807471,
245,20,11,403003928428,244,20,11,1284345009094,
245,20,12,601756839898,244,20,12,2229691536789,
238,20,13,716791491349,244,20,13,3733208623312,
238,20,14,753764957607,239,20,14,4282047446249,
238,20,15,776250830101,239,20,15,4231669210257,
238,20,16,795611935659,239,20,16,4174851022416,
238,20,17,806554463976,236,20,17,4184313110980,
236,20,18,478962228456,234,20,18,4187222823802,
235,20,19,355217244221,234,20,19,4172733811087,
235,20,20,354559929002,234,20,20,4184718090796,
1--------001174_euroroad.konet
416,5,1,150685448,416,5,1,150729342,
416,5,2,130488680,415,5,2,128384976,
416,5,3,135288030,415,5,3,135632216,
416,5,4,133443798,415,5,4,134814472,
416,5,5,128194714,415,5,5,132896528,
416,10,1,93581454,416,10,1,94688702,
416,10,2,92187152,415,10,2,94110616,
416,10,3,95086551,415,10,3,88090241,
416,10,4,96578347,415,10,4,96831027,
416,10,5,101485061,415,10,5,96879185,
416,10,6,109431045,415,10,6,103363726,
416,10,7,116982309,415,10,7,105147580,
416,10,8,117579048,415,10,8,109348272,
415,10,9,122044978,415,10,9,106802582,
415,10,10,116562463,415,10,10,109348851,
416,20,1,52998848,416,20,1,53433207,
416,20,2,53627962,416,20,2,53766058,
416,20,3,55694698,416,20,3,55640083,
416,20,4,62409229,416,20,4,63915739,
416,20,5,79945475,416,20,5,77498231,
416,20,6,111948645,416,20,6,114309083,
416,20,7,151338498,416,20,7,158053057,
416,20,8,189922116,416,20,8,201219522,
416,20,9,224198867,416,20,9,233246071,
416,20,10,242869263,416,20,10,244033939,
416,20,11,248182626,416,20,11,249140234,
415,20,12,249456885,415,20,12,247574030,
415,20,13,254653266,415,20,13,253669613,
415,20,14,249039517,415,20,14,249403799,
415,20,15,246543946,415,20,15,247986538,
415,20,16,248480382,415,20,16,250096973,
415,20,17,249637536,415,20,17,248161822,
415,20,18,247819119,415,20,18,251205643,
415,20,19,248816739,415,20,19,250684152,
415,20,20,247655598,415,20,20,250464359,
1--------001858_hamster.konet
313,5,1,2215831306,297,5,1,1760762424,
313,5,2,2166540666,297,5,2,1798787634,
303,5,3,1972381433,292,5,3,1770159466,
288,5,4,1949038652,285,5,4,1714199849,
288,5,5,1964490307,285,5,5,1680197744,
313,10,1,1081828381,304,10,1,1006049434,
313,10,2,1145128879,304,10,2,1017853772,
313,10,3,1103980805,304,10,3,1054438050,
311,10,4,1176676633,304,10,4,1078445628,
309,10,5,1215608627,304,10,5,1170340436,
308,10,6,1371638892,301,10,6,1336999791,
307,10,7,1391092575,298,10,7,1380442734,
295,10,8,1281572722,291,10,8,1265575351,
292,10,9,1259735908,291,10,9,1309896219,
