------------------brock200_2
------------------3
14:7,20,14, 195334031
15:7,20,15, 207924292
16:7,20,16, 196798623
17:7,20,17, 197333422
18:7,20,18, 195227873
19:7,20,19, 197146016
20:7,20,20, 198262704
------------------9
1:9,5,1, 225369698
2:9,5,2, 221549414
3:9,5,3, 221450617
4:9,5,4, 218122944
5:9,5,5, 225053413
1:8,10,1, 186252663
2:8,10,2, 189322449
3:8,10,3, 193134211
4:8,10,4, 191478767
5:8,10,5, 194738542
6:8,10,6, 189246001
7:8,10,7, 190046363
8:8,10,8, 187070124
9:8,10,9, 186307088
10:8,10,10, 191632456
1:21,20,1, 35905929
2:7,20,2, 199264754
3:7,20,3, 201153104
4:7,20,4, 196637060
5:7,20,5, 197590733
6:7,20,6, 197538317
7:7,20,7, 210010098
8:7,20,8, 208484035
9:7,20,9, 202403553
10:7,20,10, 197029956
11:7,20,11, 203496741
12:7,20,12, 210585657
13:7,20,13, 200184119
14:7,20,14, 200693550
15:7,20,15, 206600943
16:7,20,16, 197556496
17:7,20,17, 199249550
18:7,20,18, 195518274
19:7,20,19, 198146519
20:7,20,20, 201368595
------------------10
1:9,5,1, 222392399
2:9,5,2, 240086791
3:9,5,3, 238231482
4:9,5,4, 217416811
5:9,5,5, 221291754
1:8,10,1, 189683094
2:8,10,2, 188685831
3:8,10,3, 190147348
4:8,10,4, 189603997
5:8,10,5, 189204408
6:8,10,6, 190272868
7:8,10,7, 190386010
8:8,10,8, 200983090
9:8,10,9, 190055650
10:8,10,10, 195831769
1:21,20,1, 38015830
2:7,20,2, 197928152
3:7,20,3, 199413092
4:7,20,4, 205239801
5:7,20,5, 196105386
6:7,20,6, 205412462
7:7,20,7, 201093753
8:7,20,8, 198115389
9:7,20,9, 197601714
10:7,20,10, 202878003
11:7,20,11, 196118163
12:7,20,12, 206135362
13:7,20,13, 201155147
14:7,20,14, 203154646
15:7,20,15, 203161568
16:7,20,16, 201831601
17:7,20,17, 196343578
18:7,20,18, 200556954
19:7,20,19, 205029020
20:7,20,20, 205574570
------------------brock200_4
------------------3
1:5,5,1, 155198606
2:5,5,2, 145791634
3:5,5,3, 154054332
4:5,5,4, 150697471
5:5,5,5, 154082148
1:11,10,1, 39236692
2:4,10,2, 84494414
3:4,10,3, 85324534
4:4,10,4, 94508598
5:4,10,5, 86984168
6:4,10,6, 86007236
7:4,10,7, 85604788
8:4,10,8, 87619983
9:4,10,9, 88973571
10:4,10,10, 91377047
1:21,20,1, 42709559
2:4,20,2, 78219924
3:4,20,3, 76700861
4:4,20,4, 77300753
5:4,20,5, 77664360
6:4,20,6, 77590978
7:4,20,7, 79308219
8:4,20,8, 76850443
9:4,20,9, 81781234
10:4,20,10, 82228959
11:4,20,11, 78960299
12:4,20,12, 77453875
13:4,20,13, 79621139
14:4,20,14, 78588577
15:4,20,15, 77732713
16:4,20,16, 78452318
17:4,20,17, 77823492
18:4,20,18, 79042155
19:4,20,19, 78231093
20:4,20,20, 77124939
------------------4
1:5,5,1, 150338815
2:5,5,2, 156405409
3:5,5,3, 147921037
4:5,5,4, 158504820
5:5,5,5, 182019588
1:11,10,1, 38687017
2:4,10,2, 88025117
3:4,10,3, 87517751
4:4,10,4, 87497435
5:4,10,5, 86190768
6:4,10,6, 86283955
7:4,10,7, 85775679
8:4,10,8, 84431150
9:4,10,9, 89719995
10:4,10,10, 84309987
1:21,20,1, 44859132
2:4,20,2, 76741972
3:4,20,3, 78173803
4:4,20,4, 76741338
