------------------C125
------------------1
4:,2,4,4, 15581003
------------------3
1:,2,1,1, 12632952
1:,2,2,1, 15094743
2:,2,2,2, 15524123
1:,2,3,1, 15534183
2:,2,3,2, 20295761
3:,2,3,3, 15496964
1:,2,4,1, 16326038
2:,2,4,2, 16790142
3:,2,4,3, 16043262
4:,2,4,4, 15448009
------------------4
1:,2,1,1, 12202439
1:,2,2,1, 14409465
2:,2,2,2, 16635891
1:,2,3,1, 14888694
2:,2,3,2, 15498343
3:,2,3,3, 16226600
1:,2,4,1, 15103394
2:,2,4,2, 15154292
3:,2,4,3, 15165311
4:,2,4,4, 16595880
------------------5
1:,2,1,1, 14593680
1:,2,2,1, 14322733
2:,2,2,2, 14310756
1:,2,3,1, 15019551
2:,2,3,2, 15768777
3:,2,3,3, 15157667
1:,2,4,1, 16259289
2:,2,4,2, 16379043
3:,2,4,3, 21724646
4:,2,4,4, 21973742
------------------6
1:,2,1,1, 19324477
1:,2,2,1, 19807439
2:,2,2,2, 19768253
1:,2,3,1, 21976071
2:,2,3,2, 21071330
3:,2,3,3, 25255156
1:,2,4,1, 15293152
2:,2,4,2, 14914437
3:,2,4,3, 15490203
4:,2,4,4, 14898471
------------------7
1:,2,1,1, 11710041
1:,2,2,1, 14037871
2:,2,2,2, 13795244
1:,2,3,1, 14458322
2:,2,3,2, 15173126
3:,2,3,3, 15028230
1:,2,4,1, 15083589
2:,2,4,2, 14747228
3:,2,4,3, 15047020
4:,2,4,4, 15227245
------------------8
1:,2,1,1, 11982588
1:,2,2,1, 17673311
2:,2,2,2, 13748437
1:,2,3,1, 14538320
2:,2,3,2, 14807672
3:,2,3,3, 14812985
1:,2,4,1, 14699513
2:,2,4,2, 14639623
3:,2,4,3, 14774186
4:,2,4,4, 14631272
------------------9
1:,2,1,1, 11606249
1:,2,2,1, 13919333
2:,2,2,2, 14407922
1:,2,3,1, 14799919
2:,2,3,2, 14462728
3:,2,3,3, 14486259
1:,2,4,1, 14951088
2:,2,4,2, 19800922
3:,2,4,3, 20880150
4:,2,4,4, 21365686
------------------10
1:,2,1,1, 17958804
1:,2,2,1, 21250803
2:,2,2,2, 20372026
1:,2,3,1, 21439368
2:,2,3,2, 23129728
3:,2,3,3, 22171505
1:,2,4,1, 22113268
2:,2,4,2, 23141544
3:,2,4,3, 22729234
4:,2,4,4, 22008367
------------------C250
------------------2
1:,3,1,1, 166344460
1:,3,2,1, 126712574
2:,3,2,2, 128150542
1:,2,3,1, 65997162
2:,2,3,2, 66508347
3:,2,3,3, 67392756
1:,2,4,1, 67636782
2:,2,4,2, 68191397
3:,2,4,3, 68430337
4:,2,4,4, 67179557
1:,2,5,1, 71167070
2:,2,5,2, 71858714
3:,2,5,3, 70952271
4:,2,5,4, 72506757
5:,2,5,5, 73834722
1:,2,10,1, 101554456
2:,2,10,2, 113713321
3:,2,10,3, 108795486
4:,2,10,4, 114484503
5:,2,10,5, 109120784
6:,2,10,6, 105177627
7:,2,10,7, 106411448
8:,2,10,8, 107672828
9:,2,10,9, 78324820
10:,2,10,10, 80061123
------------------3
1:,3,1,1, 135959050
1:,3,2,1, 124964905
2:,3,2,2, 124794723
1:,2,3,1, 65960373
2:,2,3,2, 65114976
3:,2,3,3, 68871625
1:,2,4,1, 67671939
2:,2,4,2, 68849524
3:,2,4,3, 67666766
4:,2,4,4, 66968112
1:,2,5,1, 71166204
2:,2,5,2, 86077740
3:,2,5,3, 70604514
4:,2,5,4, 68577629
5:,2,5,5, 70630531
1:,2,10,1, 79938759
2:,2,10,2, 81025049
3:,2,10,3, 79870943
4:,2,10,4, 80001754
5:,2,10,5, 79563004
6:,2,10,6, 79844690
7:,2,10,7, 79871988
8:,2,10,8, 80169840
9:,2,10,9, 81566042
